,hist_weights,gp_weights
EWX,0.0806318555407844,0.07813803049452604
HYEM,0.07046185146925983,0.022633464195349957
HYG,0.04479837975255287,0.050164384024091194
IEF,0.061191198785468956,0.11222277110283531
IJR,0.0053423317523363925,0.04590385105958007
IWM,0.019361321055864054,0.019141915727754547
LQD,0.018726298760204218,0.06286569832348748
SPY,0.08232885714477868,2.182179100607893e-12
VEA,0.1705697711095416,0.1601000344072253
VNQ,2.61199305644692e-10,0.048422062266597184
VNQI,0.03957569527100214,0.10460782995901496
VSS,0.12211875634835387,0.13352172397688752
VTV,0.10897331106565025,0.11881407367206237
VWO,0.12207629193397523,0.017421073140168258
VWOB,0.053844079749028245,0.026043087648237578
