BND_pred,BND_lower_95,BND_upper_95,BNDX_pred,BNDX_lower_95,BNDX_upper_95,EWX_pred,EWX_lower_95,EWX_upper_95,HYEM_pred,HYEM_lower_95,HYEM_upper_95,HYG_pred,HYG_lower_95,HYG_upper_95,IEF_pred,IEF_lower_95,IEF_upper_95,IJR_pred,IJR_lower_95,IJR_upper_95,IWM_pred,IWM_lower_95,IWM_upper_95,LQD_pred,LQD_lower_95,LQD_upper_95,MGK_pred,MGK_lower_95,MGK_upper_95,SPY_pred,SPY_lower_95,SPY_upper_95,VEA_pred,VEA_lower_95,VEA_upper_95,VNQ_pred,VNQ_lower_95,VNQ_upper_95,VNQI_pred,VNQI_lower_95,VNQI_upper_95,VSS_pred,VSS_lower_95,VSS_upper_95,VTV_pred,VTV_lower_95,VTV_upper_95,VWO_pred,VWO_lower_95,VWO_upper_95,VWOB_pred,VWOB_lower_95,VWOB_upper_95
0.0032460946,-0.028926205,0.035418395,0.0021903235,-0.020477947,0.024858594,0.0035624767,-0.06778878,0.07491374,0.0025418862,-0.039658494,0.044742264,0.004339576,-0.026935875,0.035615027,0.003219018,-0.035379417,0.041817456,0.0027902508,-0.08721217,0.09279267,0.0035658602,-0.0861931,0.093324825,0.0045163385,-0.03207157,0.041104246,0.008181259,-0.07707222,0.093434736,0.0064565446,-0.055685475,0.06859856,0.0056702965,-0.04887229,0.060212884,0.0030483496,-0.07483684,0.08093355,0.004535301,-0.06035886,0.069429465,0.0052179764,-0.051004667,0.06144062,0.005339118,-0.052117378,0.06279562,0.003996058,-0.05619403,0.06418615,0.003094647,-0.031387635,0.03757693
0.0032048798,-0.023711592,0.030121353,0.0059519913,-0.016757729,0.028661711,0.007114753,-0.06200251,0.076232016,0.0015473815,-0.039356813,0.042451575,0.004663394,-0.026226621,0.035553407,0.0042218463,-0.032165177,0.040608868,-0.0006191293,-0.088916406,0.08767815,0.006409861,-0.08122954,0.09404926,0.0038343633,-0.032463893,0.04013262,0.01957604,-0.065359086,0.10451117,0.007917654,-0.0507124,0.06654771,0.014058819,-0.039974734,0.06809237,-0.001563156,-0.075602986,0.07247668,0.012537159,-0.05144225,0.07651657,0.015490802,-0.040157005,0.071138605,0.00016642711,-0.053200416,0.05353327,0.0070440304,-0.06042391,0.074511975,0.005926652,-0.029161194,0.0410145
0.004551634,-0.022072565,0.031175833,0.0043321038,-0.018288456,0.026952665,0.018276878,-0.050540864,0.08709462,0.014408214,-0.026478017,0.055294447,0.007834134,-0.023135737,0.038804006,0.0029466904,-0.033758238,0.039651617,0.01597414,-0.07298587,0.104934156,0.019877179,-0.06726476,0.10701912,0.008542478,-0.027823228,0.044908185,0.03007931,-0.05486697,0.115025595,0.019138422,-0.040164724,0.07844157,0.01627864,-0.037899043,0.070456326,0.012721731,-0.060785986,0.08622945,0.0065243253,-0.057098307,0.070146956,0.016730122,-0.039422803,0.07288305,0.010991057,-0.042823114,0.064805225,0.013782918,-0.05278249,0.08034833,0.011108672,-0.02197378,0.044191122
-0.0042754053,-0.029775528,0.021224717,-0.0014053965,-0.022238646,0.019427855,0.0038628853,-0.05956247,0.06728824,0.0023863437,-0.034849554,0.03962224,-0.0009514522,-0.029387986,0.027485082,-0.0068237665,-0.040768642,0.027121108,-0.019211851,-0.09915462,0.06073092,-0.016044246,-0.0953215,0.06323301,-0.0058062025,-0.040026907,0.0284145,0.003738192,-0.07308726,0.08056365,-0.0048734737,-0.05926881,0.049521863,-0.007448939,-0.057425097,0.04252722,-0.017399358,-0.08573018,0.05093147,-0.0027002823,-0.06234459,0.056944028,-0.0027615312,-0.05510789,0.04958483,-0.0128057115,-0.06180943,0.03619801,-0.0014147321,-0.066053115,0.06322365,-0.0006552264,-0.035418097,0.034107644
0.01055273,-0.011844488,0.032949947,0.006231824,-0.0125297755,0.024993423,0.007753686,-0.047785375,0.06329275,0.018671587,-0.014516998,0.051860172,0.015949607,-0.00924246,0.041141674,0.010478979,-0.019694103,0.04065206,0.04007208,-0.030520882,0.11066504,0.042539433,-0.027345575,0.11242444,0.016849931,-0.012939088,0.04663895,0.035326432,-0.031645853,0.10229872,0.03696332,-0.011020698,0.08494734,0.038569737,-0.0056126565,0.08275213,0.037481647,-0.022799246,0.09776254,0.022607237,-0.029814918,0.07502939,0.023885773,-0.022112055,0.0698836,0.03841078,-0.005507905,0.08232947,0.025776794,-0.036986127,0.08853972,0.02025133,-0.0077428073,0.048245467
0.0072529987,-0.015068967,0.029574964,0.0013454757,-0.017523874,0.020214826,0.029171895,-0.026891176,0.08523497,0.014349807,-0.018667456,0.04736707,0.008806614,-0.016564123,0.03417735,0.009345617,-0.020386651,0.039077885,0.038019534,-0.032116193,0.108155265,0.04086525,-0.028597444,0.110327944,0.008631114,-0.020943925,0.038206153,0.007841276,-0.05873572,0.07441827,0.01544043,-0.03178238,0.06266324,0.028320521,-0.015547723,0.072188765,0.025473192,-0.033846427,0.08479281,0.020366613,-0.03196871,0.07270193,0.026291624,-0.019106437,0.07168968,0.024298359,-0.019534737,0.068131454,0.018059973,-0.042858563,0.07897851,0.014043316,-0.0138623435,0.041948974
-0.0042441785,-0.030835101,0.022346744,-0.0036448753,-0.02279944,0.01550969,-0.0035026995,-0.062088408,0.055083007,-0.0001905337,-0.034304343,0.033923276,-0.0031128405,-0.029009786,0.022784103,-0.006012883,-0.036769632,0.024743866,-0.016343975,-0.08993046,0.057242513,-0.010850788,-0.08334453,0.061642952,-0.005258835,-0.035613447,0.02509578,0.008795553,-0.06196414,0.07955524,0.0005012406,-0.04912994,0.050132424,-0.010269076,-0.055290423,0.034752272,-0.011924606,-0.0741173,0.050268095,-0.011997318,-0.06560979,0.04161515,-0.0077384757,-0.054876786,0.039399836,-0.0080583915,-0.05368687,0.037570085,-0.005518698,-0.06764417,0.056606777,-0.0026283325,-0.030825466,0.025568802
0.0041371575,-0.015684824,0.023959141,0.0047546932,-0.012256666,0.021766052,0.003012734,-0.047640067,0.053665537,0.0028693154,-0.027100965,0.032839596,0.0006215903,-0.022304151,0.023547333,0.0046244054,-0.022069689,0.0313185,-0.005081529,-0.069079004,0.05891595,0.014736327,-0.048251744,0.0777244,0.0035866767,-0.0231217,0.030295052,0.035995923,-0.024822187,0.09681404,0.018361751,-0.025188234,0.061911736,0.017151833,-0.02266423,0.056967895,-0.01576795,-0.0707645,0.039228592,-0.0014925357,-0.048804462,0.045819394,0.0072182277,-0.034809772,0.049246226,-1.852028e-05,-0.040003203,0.03996616,0.01510671,-0.04788073,0.07809415,0.010819165,-0.015261998,0.036900327
0.0034811874,-0.017753432,0.024715805,-0.00065759197,-0.019276978,0.017961795,0.0013831663,-0.054785125,0.05755146,0.0017158773,-0.030873513,0.034305267,0.003239236,-0.021517757,0.02799623,0.004626735,-0.024980966,0.034234438,0.00807443,-0.06283712,0.07898598,0.010981586,-0.058228757,0.080191925,0.0054087844,-0.023520656,0.034338225,0.006529941,-0.06316599,0.07622588,0.009678787,-0.03839124,0.05774881,0.009008892,-0.03427319,0.052290972,0.0055217603,-0.05530944,0.06635296,0.0054312376,-0.04605472,0.056917198,0.008445054,-0.036393456,0.053283565,0.0076118126,-0.036690358,0.05191398,0.009122698,-0.053813055,0.072058454,0.006897657,-0.020733409,0.03452872
-0.0014912551,-0.025029842,0.022047333,-0.0010467712,-0.020402644,0.018309101,0.011990048,-0.04829115,0.07227124,0.0020304965,-0.032298695,0.036359686,0.0019038105,-0.02419576,0.028003383,-0.0043835286,-0.035505656,0.026738599,0.013730817,-0.061962135,0.08942377,0.024839632,-0.050047874,0.09972714,-0.00036368007,-0.031146599,0.03041924,0.029236145,-0.044785254,0.103257544,0.019663062,-0.03137615,0.07070227,0.0063155065,-0.040018987,0.05265,-0.0076632276,-0.07261561,0.057289153,-0.005150197,-0.059775107,0.04947471,0.008212604,-0.039758272,0.05618348,0.0118809845,-0.034506895,0.05826886,0.0040922156,-0.058171533,0.066355966,0.0036369292,-0.024754193,0.032028053
