,prediction,uncertainty,score,rank,weights
SPY,0.022027,0.026897,0.81895,3.0,0.14668509834382507
IWM,0.031506,0.039369,0.800266,3.0,0.16948547330993058
VTV,0.013869,0.024678,0.562002,3.0,0.08696347045691136
VSS,0.014364,0.025594,0.561233,3.0,0.06579478329505178
VEA,0.011334,0.025098,0.451584,3.0,0.048234844430878145
EWX,0.014188,0.031634,0.448491,3.0,0.10196093555455227
VWO,0.011638,0.032198,0.361466,3.0,0.07335021234611877
HYG,0.004614,0.01383,0.333641,3.0,0.07182448370260283
HYEM,0.004413,0.019652,0.224579,3.0,0.07890218580955485
VWOB,0.00427,0.026789,0.159415,3.0,0.0611161422857193
LQD,0.000434,,,,0.04206921157312479
VNQI,-0.000872,0.030092,-0.028976,3.0,5.030829018450449e-10
VNQ,0.00028,,,,4.452531679018195e-10
IEF,-0.00249,0.014876,-0.167387,3.0,0.05361315794339398
